category,title,price,image
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71172) (Red/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71171) (Black/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71170) (Black/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 10"" Krusell Luna sleeve (71160) (Brown)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 10"" Krusell Luna sleeve (71157) (Black)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 16"" Krusell Coco slim laptop (71139) (Black/Grey)",2 840 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 16"" Krusell Coco slim (71141) (Pink/Silvergrey)",2 910 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB740-2-J-CIS grey,26 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB628-R-CIS red,16 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB628-P-CIS black,16 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
